# iterator, reward, timestamp 
68,-155.2101207117053,1625947830.7260041
69,-141.8050081578198,1625947833.8319747
70,-146.79937437026462,1625947837.8499799
71,-128.68056465963525,1625947841.942151
72,-127.30161305694385,1625947845.9466214
73,-129.62614905441075,1625947849.0539954
74,-101.17996876008198,1625947852.1599638
75,-125.20551222940738,1625947857.2709014
76,-42.407196548806496,1625947860.3774478
77,-66.94426742490326,1625947863.4960873
78,-121.87357843255371,1625947867.5948162
79,-144.93683684587393,1625947871.7000854
80,-129.30970097988478,1625947875.807565
81,-102.83403059805536,1625947878.913852
82,-129.84492918269657,1625947883.0242116
83,-50.53094813651669,1625947886.1273618
84,-54.47494565388349,1625947889.23132
85,-51.97075007106368,1625947892.3397224
86,-43.91848405818591,1625947895.4425893
87,-36.58628084088556,1625947898.5485137
88,-127.76922377794689,1625947901.655001
89,-99.16718209619926,1625947904.759973
90,-83.83269865270502,1625947907.865158
91,-78.0827463918684,1625947910.9717817
92,-123.52651868986467,1625947914.076391
93,-46.07124253081248,1625947917.1813781
94,-126.57467595012298,1625947920.2880967
95,-126.04173446948307,1625947923.2925544
96,-125.40737178583854,1625947926.4026992
97,-151.570548782172,1625947929.6179771
98,-131.36760905726481,1625947932.631715
99,-140.0655651700411,1625947935.6652737
100,-41.8468085022226,1625947938.7703304
101,-120.19377471575253,1625947941.8750448
102,-119.1062421518112,1625947952.0094435
103,-129.08827572227975,1625947956.121688
104,-120.02079450164051,1625947959.1245232
105,-145.57115344733472,1625947963.2505746
106,-133.88540246764427,1625947966.3396313
107,-128.1580974180552,1625947969.4480631
108,-39.43913028578197,1625947972.5569367
109,-27.566655538254768,1625947975.5593452
110,-126.30680081800831,1625947978.6709638
111,-130.90079893931136,1625947981.7793038
112,-115.21539965778626,1625947984.884467
113,-53.69803318699013,1625947987.9925787
114,-143.5516147151589,1625947991.0988724
115,-135.59547817597385,1625947994.2080214
116,-140.7031445924239,1625947999.2252834
117,-116.23640314800988,1625948002.3678722
118,-129.9613312164671,1625948005.3417053
119,-37.799417170372145,1625948008.4475703
120,-55.77396745365057,1625948011.5609093
121,-134.3182910379576,1625948014.6610894
122,-49.18788715625777,1625948017.762793
123,-120.31915075569266,1625948020.8690426
124,-43.341801666522535,1625948023.975042
125,-50.192950416160606,1625948026.9811597
126,-62.225300054660046,1625948030.0873475
127,-39.52146537499128,1625948033.1910386
128,-128.9594697276275,1625948036.298013
129,-99.11773729297427,1625948039.4111292
130,-72.26810202659144,1625948042.5129757
131,-133.1061182512164,1625948045.6207883
132,-146.64182926756885,1625948049.727093
133,-126.02847128281402,1625948052.8296776
134,-96.43177747365948,1625948055.9368398
135,-32.1136569520672,1625948059.0419848
136,-124.31397710973421,1625948062.1475217
137,-118.2635805076087,1625948067.1552525
138,-122.41060904482401,1625948072.2637582
139,-124.24214793144078,1625948077.272486
140,-39.09247091875938,1625948080.3784773
141,-39.2159304936336,1625948083.5308464
142,-38.303043976341876,1625948086.58808
143,-125.25156733140675,1625948089.6929018
144,-57.08385687951373,1625948092.8022165
145,-51.90425044361794,1625948095.909295
146,-130.88813206948743,1625948099.0173988
147,-70.12134333812868,1625948102.1336088
148,-61.88683421376155,1625948105.2319367
149,-42.02566652896284,1625948108.3419185
150,-45.577600782428114,1625948111.444039
151,-40.18606155965975,1625948114.553951
152,-52.0277945687408,1625948117.6599877
153,-123.68986925952476,1625948121.7754352
154,-127.15811056308713,1625948124.7787635
155,-96.8308133508751,1625948127.8851173
156,-137.12816531051516,1625948131.9939046
157,-133.88152464568884,1625948134.99763
158,-46.04942325015892,1625948138.1203158
159,-131.44898623835698,1625948141.2180514
160,-132.90109044773874,1625948145.3295796
161,-39.503944412139916,1625948148.4359415
162,-125.89898699800283,1625948151.5457315
163,-45.47965990370451,1625948154.678729
164,-131.19530637831366,1625948157.7624934
165,-140.47319275493174,1625948164.783446
166,-149.23454614947644,1625948170.8830369
167,-123.30955334154969,1625948173.9908786
168,-42.71336233046015,1625948177.0963655
169,-51.36272417405096,1625948180.201942
170,-63.39140374213783,1625948183.3171568
171,-53.02442327721823,1625948186.4668927
172,-48.86153863467757,1625948189.548646
173,-52.86828380987207,1625948192.6555474
174,-45.25244886410083,1625948195.759318
175,-46.20241184528311,1625948198.8679583
176,-124.48812161185819,1625948201.9727948
177,-54.499510194100445,1625948205.094379
